"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","color","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple","5,6","50","0","Diffuseur mural d'huiles essentielles","","","/d/i/diffuseur-mural.jpg","/d/i/diffuseur-mural.jpg","/d/i/diffuseur-mural.jpg","diffuseur-mural-d-huiles-essentielles","diffuseur-mural-d-huiles-essentielles.html","","No layout updates","Block after Info Column","Diffuseur mural","Diffuseur mural","Diffuseur mural"," ","Use config","Use config","No","24.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Pour retrouver une ambiance calme et harmonieuse tout en parfumant chaleureusement le salon d’effluves fruités, il suffit de verser quelques gouttes d’une synergie d’huiles essentielles biologiques dans le diffuseur qui se branche en toute simplicité. Les molécules aromatiques se diffusent grâce à une chaleur douce qui permet de préserver toutes leurs vertus. Grâce à sa minuterie électronique, trois cycles de diffusion de 15 minutes se succèdent pour finir par un arrêt automatique. Son éclairage bleuté à intensité réglable permet d’indiquer qu'il est en fonctionnement.

Contient : 1 diffuseur mural.

Fonctionne sur toutes les prises électriques 220V.

Conseils d’utilisation : Pour éviter de saturer l’air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Une diffusion de quelques gouttes pendant 15 à 20 minutes maximum est suffisante pour une pièce de 20 m².

Précautions d’emploi : Ne pas avaler. Éviter tout contact avec les yeux. Tenir hors de portée des enfants. Ne pas verser vers une flamme ou une source de chaleur. Ne pas utiliser pour les enfants de moins de trois ans. Pour les femmes enceintes demandez conseil à un spécialiste.

H. 10 cm - L. 7,8 cm - P. 10,4 cm.
Garantie : 2 ans","Diffuseur nomade, à brancher partout
Très simple d'utilisation et d'entretien
Pour parfumer la maison et profiter des vertus des huiles essentielles","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diffuseur mural d'huiles essentielles","0","simple","",""
"admin","base","Default","configurable","5,6","3","1","Diffuseur Azur","","","/d/i/diffuseur-azur-blanc_1_1.jpg","/d/i/diffuseur-azur-blanc_1_1.jpg","/d/i/diffuseur-azur-blanc_1_1.jpg","diffuseur-azur","diffuseur-azur.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","59.9000","","","","","Enabled","","Catalog, Search","None","De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.","Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diffuseur Azur","0","configurable","",""
"admin","base","Default","simple","","3-Noir","0","Diffuseur Azur-Noir","","","/d/i/diffuseur-azur-noir_2.jpg","/d/i/diffuseur-azur-noir_2.jpg","/d/i/diffuseur-azur-noir_2.jpg","diffuseur-azur-noir","diffuseur-azur-noir.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","59.9000","","1.0000","","Noir","Enabled","No","Not Visible Individually","None","De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.","Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diffuseur Azur-Noir","0","simple","",""
"admin","base","Default","simple","","3-Blanc","0","Diffuseur Azur-Blanc","","","","","","diffuseur-azur-blanc","diffuseur-azur-blanc.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","59.9000","","1.0000","","Blanc","Enabled","No","Not Visible Individually","None","De la cheminée du diffuseur Azur se dégage une brume aux huiles essentielles qui parfume délicatement la pièce. Pour cela, il suffit de remplir le réservoir d’eau et d’y ajouter quelques gouttes d’huiles essentielles. 

Grâce à sa membrane à ultrasons, ce diffuseur transforme alors l’eau en micro-gouttelettes qui s’envolent dans la pièce, emportant avec elles les huiles essentielles parfumées. Le diffuseur Azur se fait aussi objet de décoration grâce à la lumière bleue qu’il diffuse. 

Contient : 1 diffuseur , 1 adaptateur secteur et 1 notice.

CARACTÉRISTIQUES TECHNIQUES

Puissance : 12 W.
Fonctionne avec un adaptateur AC 24V fourni.
Contenance du réservoir d’eau max 100 ml.
Bouton ON/OFF.
Couverture de diffusion : 40 m2.

Conseils d'utilisation : Il est recommandé de ne diffuser que des huiles essentielles pures et de préférence de culture biologique. Mettre un peu d'huile essentielle dans le diffuseur et la renouveler régulièrement car elle peut s'oxyder et s'épaissir. Pour éviter de saturer l'air en molécules aromatiques, ne jamais diffuser les huiles essentielles de façon continue. Ne jamais diffuser plus de cinq minutes dans une chambre d'enfant.","Diffusion des huiles essentielles à froid par brumisation
Lumière bleutée, douce et apaisante
Prévu pour une pièce de 40 m2","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diffuseur Azur-Blanc","0","simple","",""
"admin","base","Default","simple","5,6","2","0","Diffuseur Yun","","","/d/i/diffuseur_yun.jpg","/d/i/diffuseur_yun.jpg","/d/i/diffuseur_yun.jpg","diffuseur-yun","diffuseur-yun.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","149.0000","","1.0000","","","Enabled","No","Catalog, Search","None","Le diffuseur Yun est idéal pour créer une ambiance calme et apaisante chez vous. Sa coupelle fabriquée en bois d'érable, son couvercle en verre soufflé ainsi que son design épuré font de lui un superbe objet de décoration et de bien-être qui trouvera facilement sa place à la maison. Très performant, il permet de couvrir une pièce de 40 m2.
 
Grâce à sa technologie des ultrasons, le diffuseur Yun vaporise une brume d’eau qui augmente le taux d’humidité de l’air ambiant. Mélangées avec quelques gouttes d’huiles essentielles, les molécules aromatiques ainsi projetées vous permettent de bénéficier pleinement de leurs propriétés apaisantes ou stimulantes. Vous profitez ainsi de toutes les vertus des huiles essentielles et de leurs parfums si agréables. 

Grâce à ses trois programmes, à vous de choisir la plage de diffusion qui vous convient le mieux : une heure, deux heures ou trois heures. Et avec à sa fonction ionisation, le diffuseur libère aussi dans l’air des ions négatifs qui aident à se sentir à la fois plus énergique et plus apaisé.
 
Le diffuseur Yun dévoile également une douce lumière qui passe du bleu au blanc, et du blanc au violet. L'idéal pour une ambiance zen. Et pour un programme détente qui stimule tous les sens, ce diffuseur très complet offre aussi une musique apaisante, propice à la relaxation. L'utilisateur peut aussi brancher un lecteur de musique externe sur le diffuseur afin de profiter de la musique qu'il préfère.

Et pour programmer simplement votre pause détente personnalisée, vous pouvez utiliser la télécommande du diffuseur Yun pour ajuster à tout moment les options que vous souhaitez.

Contient : 1 socle en bois, 1 couvercle en verre, 1 télécommande, 1 anti-éclaboussure, 1 cale, 1 pinceau pour l'entretien, 1 verseuse d'eau, 1 adaptateur secteur et 1 câble audio.

CARACTÉRISTIQUES TECHNIQUES

Alimentation : 24 V continu, 650mA.

Puissance : 15 W.

Débit de brume : 70± 10 ml/h.

Eau conseillé : eau du robinet ou eau minérale à température ambiante.

Superficie couverte : 40 m2.

Musique : 12 minutes.

3 programmes de diffusion : 1 heure, 2 heures, 3 heures.

Option musique apaisante : on/off. Réglage du volume.

Prise d'arrivée de la musique pour brancher un lecteur MP3/MP4/CD/VCD/DVD.

Option couleurs LED : lumière bleue, lumière blanche, lumière violette, aucune lumière.

Notice fournie.

Coupelle fabriquée en bois d'érable et couvercle en verre soufflé.

Distance maximale d'utilisation de la télécommande : 8 mètres.

Ø. 20 cm - H. 16 cm.","Profitez d'un diffuseur design, performant et complet
Il couvre une superficie de 40 m2 maximum
Il stimule les sens avec sa musique, ses couleurs et le parfum des huiles
Vous pouvez brancher votre lecteur MP3","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diffuseur Yun","0","simple","",""
"admin","base","Default","simple","5,7","1","0","Huile essentielle bio verveine exotique","","","/b/o/bouh.jpg","/b/o/bouh.jpg","/b/o/bouh.jpg","huile-essentielle-bio-verveine-exotique","huile-essentielle-bio-verveine-exotique.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","12.9500","","1.0000","","","Enabled","No","Catalog, Search","None","La nature est pleine de ressources, et les huiles essentielles vous en font la démonstration. Véritables concentrés de plantes, elles dévoilent une large gamme de vertus pour se faire du bien, soigner les bobos du quotidien, se détendre ou simplement parfumer la maison. Nature & Découvertes vous invite à découvrir une gamme d’huiles essentielles 100% bio qui restitue chez vous les bienfaits de la nature.

L'huile essentielle de verveine dévoile un parfum très agréable d'agrume légèrement piquant. Son odeur fraîche se marie à plusieurs vertus :
Anti-stress : utilisée en diffusion atmosphérique ou diluée dans une huile végétale en massage ou dans un bain avec un dispersant, l'huile essentielle de verveine permet de se relaxer, de chasser les idées noires et de retrouver la sérénité.
Équilibrante : appliquée diluée dans une huile végétale et appliquée sur l'intérieur du poignet, l'huile essentielle de verveine aide à équilibrer l'humeur et chasser les angoisses.
Sommeil : l'huile essentielle de verveine facilite le sommeil une fois utilisée en diffusion atmosphérique, diluée dans une huile végétale en massage ou avec un dispersant pour le bain.

Nos engagements

Comme toutes nos huiles essentielles, l'huile essentielle de verveine est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation : Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux. L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes. Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.","Une huile essentielle bio
Pour lutter contre le stress et chasser les angoisses
Favorise le sommeil","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Huile essentielle bio verveine exotique","0","simple","",""
"admin","base","Default","simple","5,7","11","0","Huile essentielle bio de citron","","","/h/u/huille-essentielle-citron.jpg","/h/u/huille-essentielle-citron.jpg","/h/u/huille-essentielle-citron.jpg","huile-essentielle-bio-de-citron","huile-essentielle-bio-de-citron.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","8.9500","","1.0000","","","Enabled","No","Catalog, Search","None","La nature est pleine de ressources, et les huiles essentielles vous en font la démonstration. Véritables concentrés de plantes, elles dévoilent une large gamme de vertus pour se faire du bien, soigner les bobos du quotidien, se détendre ou simplement parfumer la maison. Nature & Découvertes vous invite à découvrir une gamme d’huiles essentielles 100% bio qui restitue chez vous les bienfaits de la nature.

L'huile essentielle de citron dévoile un parfum frais et des propriétés puissantes, pour la vie quotidienne et pour le bien-être :
Purifiante : en diffusion pour un effet “air pur” à la maison. Dans les produits d'entretien, l'huile essentielle de citron assainit efficacement. Dans un grog aromatique, elle détoxifie. 
Anti-stress : quelques gouttes d'huile essentielle de citron dans un diffuseur pour apporter de la sérénité.
Circulatoire : diluée dans une huile végétale, l'huile essentielle de citron s'utilise en soins cutanés pour faciliter le drainage et améliorer la micro-circulation. Opération fermeté !

Nos engagements

Comme toutes nos huiles essentielles, l'huile essentielle de citron est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation : Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux. L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes. Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.","Une huile essentielle bio
Pour purifier l'air, se détendre et améliorer la micro-circulation
Le plaisir d'un parfum frais d'agrume","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Huile essentielle bio de citron","0","simple","",""
"admin","base","Default","simple","5,7","12","0","Huile essentielle bio eucalyptus radiata","","","/h/u/huille-essentielle-eucalyptus-radiata.jpg","/h/u/huille-essentielle-eucalyptus-radiata.jpg","/h/u/huille-essentielle-eucalyptus-radiata.jpg","huile-essentielle-bio-eucalyptus-radiata","huile-essentielle-bio-eucalyptus-radiata.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","10.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Cette huile essentielle bio* est idéale pour dégager les voies respiratoires et purifier l'atmosphère. À dégainer dès que l'hiver pointe le bout de son nez pour prendre une bonne bouffée d'air pur. Cette huile essentielle bio d'eucalyptus radiata possède plusieurs vertus :

Respiratoire : quelques gouttes d'huile essentielle d'eucalyptus radiata dans un diffuseur atmosphérique, en inhalation, en friction sur la poitrine ou en massage diluée dans une huile végétale, elle facilite la respiration.
Purifier : en diffusion atmosphérique, l'huile essentielle d'eucalyptus radiata purifie l’air et prévient les petits maux de l'hiver. 


Nos engagements

L'huile essentielle d'eucalyptus radiata comme toutes nos huiles essentielles est :

100 % pure et naturelle
100 % bio
100 % extraite sans solvants de synthèse
100 % totale contenant la totalité des principes aromatiques
Non déterpénée (procédé visant à retirer chimiquement les traces de résine)
Issue d’un fournisseur expert en huiles essentielles
HEBBD (Huile Essentielle Botaniquement et Biologiquement Définie) : le nom latin de l’huile, la partie de la plante utilisée et le chémotype complet figurent dans un certificat d’analyse réalisé par un laboratoire indépendant, avec chaque flacon d’huile essentielle.
Précautions d’utilisation

Ne pas utiliser pure sur la peau. Tenir hors de portée des enfants. Éviter le contact avec les zones sensibles telles que les yeux.

L’utilisation des huiles essentielles est déconseillée aux enfants de moins de trois ans et aux femmes enceintes.

Certaines huiles essentielles sont photosensibilisantes, dermocaustiques, irritantes, allergisantes. Il est indispensable de vérifier ces éléments sur la notice. Ne pas utiliser sans l’avis d’un médecin compétent.","Huile essentielle bio
Respiratoire
Purifiante","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Huile essentielle bio eucalyptus radiata","0","simple","",""
"admin","base","Default","simple","3,13","4","0","Savon noir Argan fleur d'oranger","","","/s/a/savon_noir.jpg","/s/a/savon_noir.jpg","/s/a/savon_noir.jpg","savon-noir-argan-fleur-d-oranger","savon-noir-argan-fleur-d-oranger.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","14.9500","","1.0000","","","Enabled","No","Catalog, Search","None","En Orient, l’huile d’argan est au coeur de tous les secrets de beauté. Exceptionnellement riche en antioxydants, tocophérols et oméga 6, elle protège, régénère et nourrit la peau. Extraite à Tidzi par les femmes berbères, elle est issue d’un véritable commerce solidaire.

Soin incontournable au hammam pour nettoyer, exfolier et purifier la peau, le savon noir est un soin lavant végétal à base d’huile d’olive. Enrichi en huile d’argan adoucissante et fleur d’oranger relaxante, il laisse la peau propre, douce et délicatement parfumée.","Un soin très doux
Pour exfolier et purifier la peau
Subtil parfum de fleur d'oranger","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Savon noir Argan fleur d'oranger","0","simple","",""
"admin","base","Default","simple","3,14","5","0","Gant Kassat","","","/g/a/gant-kassat-15120140-55371.jpg","/g/a/gant-kassat-15120140-55371.jpg","/g/a/gant-kassat-15120140-55371.jpg","gant-kassat","gant-kassat.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","5.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Le gant de Kassat est l'accessoire indispensable pour le gommage du corps. Dans les hammams, il est utilisé après l'application du savon noir afin d'aider à exfolier la peau en douceur. Une fois débarassé des peaux mortes, l'épiderme retrouve toute sa beauté et toute sa douceur.","Un gant spécial pour le gommage
 Un rituel pour prendre soin de la peau","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Gant Kassat","0","simple","",""
"admin","base","Default","simple","3,14","6","0","Gant de gommage","","","/1/5/15137860-1.jpg","/1/5/15137860-1.jpg","/1/5/15137860-1.jpg","gant-de-gommage","gant-de-gommage.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","4.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Rien de mieux pour se détendre tout en prenant soin de sa peau qu'un gommage régulier. Grâce à ce gant de gommage, vous profitez en toute simplicité de votre savon noir préféré. L'une de ses faces (poils boucles) sert à accentuer l'action gommante de votre soin sans agresser la peau ; la deuxième face, plus douce, sert à faciliter le rinçage.","Le gant parfait pour compléter votre soin
Une face pour un gommage tout en douceur
Une face pour faciliter le rinçage","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Gant de gommage","0","simple","",""
"admin","base","Default","simple","3,14","7","0","Oreiller de bain","","","/2/2/225.jpg","/2/2/225.jpg","/2/2/225.jpg","oreiller-de-bain","oreiller-de-bain.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","15.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Cet oreiller moelleux et déhoussable s'accrochera facilement dans votre baignoire grâce à ses ventouses. Ainsi, il sera placé idéalement pour le confort de la tête et de la nuque. Quel délice ce bain de détente !
Oreiller déhoussable.

Housse en coton.

Oreiller en polyester.

H. 10 cm - L. 20 cm
Garantie : 2 ans","S’accroche à la baignoire grâce aux ventouses
Moelleux avec sa housse en coton
Déhoussable pour un nettoyage ultra-simple","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Oreiller de bain","0","simple","",""
"admin","base","Default","simple","3,14","8","0","Radio de douche blanche","","","/2/2/225_1_.jpg","/2/2/225_1_.jpg","/2/2/225_1_.jpg","radio-de-douche-blanche","radio-de-douche-blanche.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","15.9500","","1.0000","","Blanc","Enabled","No","Catalog, Search","None","Pour commencer la journée du bon pied avec ses chansons préférées, cette charmante radio tout en rondeur s’écoute sous la douche. Facile à utiliser, cette petite radio étanche est dotée d’un système de recherche automatique des stations. Sa ventouse permet de la fixer solidement sur le carrelage ou sur la vitre. C’est parti pour une douche en chansons !

CARACTÉRISTIQUES TECHNIQUES

Auto scan des stations.

Étanche.

Fonctionne avec 2 batteries AAA Ni-mH 800 mAh 1,2 V fournies.

S'accroche à ml'aide d'une ventouse sur le carrelage ou d'une vitre.

Ø. 10 cm - Épaisseur. 5 cm.
Garantie : 2 ans ","Équipée d'une ventouse, se fixe facilement sur le carrelage ou la vitre
Étanche, ne craint pas les éclaboussures sous la douche
Dotée d'un système de recherche automatique des stations","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Radio de douche blanche","0","simple","",""
"admin","base","Default","simple","5,10","9","0","Brûle-encens métal & verre","","","/2/2/225_4_.jpg","/2/2/225_4_.jpg","/2/2/225_4_.jpg","brule-encens-metal-verre","brule-encens-metal-verre.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","16.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Ce brûle-encens à la conception raffinée, en métal finement découpé, pour diffuser avec élégance les volutes parfumées de vos encens préférés, tout en protégeant vos meubles des cendres consumées.

Il est livré avec un encens parfumé à la senteur de frangipanier.

Contient : 1 brûle-encens et 1 bâton d'encens senteur frangipanier.
H. 28 cm - Ø. 3 cm.","Un superbe brûle-parfum au design moderne
Dévoilant une senteur sucrée et délicate","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Brûle-encens métal & verre","0","simple","",""
"admin","base","Default","simple","5,9","10","0","Bâtons d'encens Sapin blanc","","","/2/2/225_3_.jpg","/2/2/225_3_.jpg","/2/2/225_3_.jpg","batons-d-encens-sapin-blanc","batons-d-encens-sapin-blanc.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","6.9500","","1.0000","","","Enabled","No","Catalog, Search","None","Lorsque s’allume la première bougie du chandelier de l’avant les festivités d’hiver démarrent. Au coeur des fjörds, des pins et des nuits de glace, un parfum délicat de résine et de bois précieux envahi les maisons pour illuminer les intérieurs et les parfumer de chaleur.

Ce parfum tout en finesse dévoile des accords boisés de cèdre et de pin mêlant les effluves vertes d’aiguilles de sapin et de résine savoureuse. Il suffit d'allumer un bâton pour profiter rapidement de cette senteur chaleureuse dans la maison.

Symbole des récoltes et du renouveau la paille joue un rôle important dans les traditions scandinaves, en Suède on l’appelle julham “paille de Noël”, elle est tressée sous forme de magnifiques étoiles et de couronnes que l’on accroche dans le sapin de Noël.

Contient : 4 bâtons d'encens.","Une senteur verte et boisée
Idéale pour parfumer rapidement la maison","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Bâtons d'encens Sapin blanc","0","simple","",""
"admin","base","Default","simple","5,9","49","0","Bâtonnets d'encens Cèdre Esteban","","","/2/2/225_2_.jpg","/2/2/225_2_.jpg","/2/2/225_2_.jpg","batonnets-d-encens-cedre-esteban","batonnets-d-encens-cedre-esteban.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","5.0000","","1.0000","","","Enabled","No","Catalog, Search","None","Formulé à base d'essences naturelles, la senteur Cèdre est une nouvelle façon de vivre la maison, en paix avec l’environnement et soi-même. Il suffit de faire brûler un bâton d'encens pour profiter rapidement de ce parfum chaleureux aux notes subtilement boisées.
Nos encens volutes légères sont fabriqués artisanalement à partir de composants naturels. Ils sont mis au point pour réduire l’émission de fumée et offrir un rendu olfactif optimum.

Contient : 25 bâtonnets d’encens volutes légères.","Une senteur chaleureuse et boisée
L'idéal pour parfumer rapidement la maison","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Bâtonnets d'encens Cèdre Esteban","0","simple","",""
"admin","base","Default","simple","8,10","48","0","Bougie parfumée Fleur d'oranger","","","/0/-/0-60145280-2.jpg","/0/-/0-60145280-2.jpg","/0/-/0-60145280-2.jpg","bougie-parfumee-fleur-d-oranger","bougie-parfumee-fleur-d-oranger.html","","No layout updates","Block after Info Column","","",""," ","Use config","Use config","No","14.9500","","1.0000","","","Enabled","No","Catalog, Search","None","À la fois photophore et diffuseur de parfum, cette bougie permet de créer une ambiance apaisante et romantique. On peut la faire brûler dans la salle de bain lorsque l'on prend un bain pour se détendre, dans le salon pour créer une ambiance chaleureuse, dans la bibliothèque ou la chambre pour se relaxer...

Elle dévoile une senteur douce et suave aux notes gourmandes évoquant les délicieux gâteaux à la fleur d'oranger, au départ tendre et suave rafraîchi par des notes vertes.

Cette bougie coulée à la main est fabriquée dans des ateliers en Provence à partir d'un véritable secret de fabrication. Façonnée à la main après plus d'une dizaine d'opérations, chaque bougie est unique et exceptionelle.

Sa cire 100% naturelle associant les cires végétales à la cire d'abeille et sa mèche en pur coton permettent de révéler toute la finesse et la richesse des parfums.

Cette bougie offre environ trente heures de combustion. Et une fois la bougie consumée, l'élégant verre soufflé se transformera en un ravissant photophore.


Poids : 175 g.

Composition : 100% cire naturelle.

Environ 30 heures de combustion.

Pour une utilisation efficace et optimale, ne pas laisser brûler la bougie plus de deux heures par jour.

Utiliser sur une surface plane, non vernie et non cirée. Éviter le contact avec la peau et les yeux. Ne pas avaler. En cas d'ingestion, de projection sur la peau ou dans les yeux, consulter un médecin et lui montrer l'emballage. Contient du limonene pouvant entraîner une réaction allergique.


Ø. 7,8 cm - H. 10 cm.
Garantie : 2 ans"," Bougie 100% cire naturelle
 30 heures de combustion environ
 Une senteur douce et gourmande","","","","","","","","","25.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Bougie parfumée Fleur d'oranger","0","simple","",""
